A,B,support,confidence,bayesian confidence,bayesian lift
['no-recurrence-events'],['no_node_caps'],61.73285198555957,87.24489795918367,76.11672219908372,0.954042174169511
['no_node_caps'],['no-recurrence-events'],61.73285198555957,77.37556561085972,59.869781536004595,0.8461188512996568
['no_irradiat'],['no-recurrence-events'],59.2057761732852,76.27906976744185,58.18496484586263,0.8223079215461198
['no-recurrence-events'],['no_irradiat'],59.2057761732852,83.6734693877551,70.01249479383591,0.9020214445531418
['0-2'],['no-recurrence-events'],59.92779783393502,79.42583732057416,63.08463634074312,0.8915532788972368
['no-recurrence-events'],['0-2'],59.92779783393502,84.6938775510204,71.7305289462724,0.9506869147424619
['0-2'],['premeno'],40.07220216606498,53.110047846889955,28.206771822989403,0.5243809258367829
['premeno'],['0-2'],40.07220216606498,74.49664429530202,55.49750011260755,0.735541030200588
['0-2'],['no_node_caps'],72.20216606498195,95.69377990430623,91.57299512373801,1.1477701198767163
['no_node_caps'],['0-2'],72.20216606498195,90.49773755656109,81.89840502856207,1.0854477604263968
['left'],['0-2'],40.07220216606498,76.55172413793103,58.60166468489892,0.7766823501300002
['0-2'],['left'],40.07220216606498,53.110047846889955,28.206771822989403,0.5388466065495217
['no_irradiat'],['0-2'],64.98194945848375,83.72093023255815,70.09194159004868,0.9289697521743294
['0-2'],['no_irradiat'],64.98194945848375,86.1244019138756,74.1741260502278,0.9556387402750279
['premeno'],['no_node_caps'],42.238267148014444,78.52348993288591,61.65938471240033,0.7728348219608548
['no_node_caps'],['premeno'],42.238267148014444,52.94117647058823,28.027681660899656,0.5210515315482688
['left'],['no_node_caps'],41.51624548736462,79.3103448275862,62.90130796670631,0.7884010093564546
['no_node_caps'],['left'],41.51624548736462,52.036199095022624,27.07766016256834,0.5172766803469951
['left'],['no_irradiat'],41.15523465703971,78.62068965517241,61.81212841854935,0.7963702126482869
['no_irradiat'],['left'],41.15523465703971,53.02325581395349,28.11465657111952,0.5370868876000074
['no_irradiat'],['premeno'],40.07220216606498,51.627906976744185,26.654407787993513,0.495521540756658
['premeno'],['no_irradiat'],40.07220216606498,74.49664429530202,55.49750011260755,0.7150143037763858
['no_irradiat'],['no_node_caps'],67.50902527075812,86.97674418604652,75.64954029204975,0.948186545741981
['no_node_caps'],['no_irradiat'],67.50902527075812,84.61538461538461,71.59763313609467,0.9224439245906152
['no_irradiat'],"['no-recurrence-events', 'no_node_caps']",54.51263537906137,70.23255813953489,34.64299747192071,0.5611760409194173
['no-recurrence-events'],"['no_irradiat', 'no_node_caps']",54.51263537906137,77.04081632653062,45.725938490764904,0.6773307466279079
['no_node_caps'],"['no-recurrence-events', 'no_irradiat']",54.51263537906137,68.32579185520362,31.89730718229557,0.5387532981399922
