A,B,support,confidence,bayesian confidence,bayesian lift
['0-2'],['no-recurrence-events'],59.92779783393502,79.42583732057416,63.08463634074312,0.8915532788972368
['no_node_caps'],['no-recurrence-events'],61.73285198555957,77.37556561085972,59.8697815360046,0.8461188512996568
['no_irradiat'],['no-recurrence-events'],59.2057761732852,76.27906976744185,58.18496484586263,0.8223079215461198
"['0-2', 'no_irradiat']",['no-recurrence-events'],53.06859205776173,81.66666666666667,54.46712962962963,0.7697650462962963
"['no_irradiat', 'no_node_caps']",['no-recurrence-events'],54.51263537906137,80.74866310160428,52.650927031933406,0.7440972850941608
"['0-2', 'no_node_caps']",['no-recurrence-events'],57.76173285198556,80.0,51.20000000000001,0.7235918367346938
"['0-2', 'no_irradiat', 'no_node_caps']",['no-recurrence-events'],52.34657039711191,82.38636363636364,46.07033154717088,0.6510960121717517
['0-2'],"['no-recurrence-events', 'no_node_caps']",57.76173285198556,76.55502392344498,44.86638612761135,0.7267829799618915
"['0-2', 'no_irradiat']","['no-recurrence-events', 'no_node_caps']",52.34657039711191,80.55555555555556,42.109684594574006,0.6821276393390059
['no_node_caps'],"['0-2', 'no-recurrence-events']",57.76173285198556,72.39819004524887,37.94749626662785,0.6332202690274648
"['no_irradiat', 'no_node_caps']","['0-2', 'no-recurrence-events']",52.34657039711191,77.54010695187166,36.14977368895716,0.6032221272193454
['0-2'],"['no-recurrence-events', 'no_irradiat']",53.06859205776173,70.33492822966507,34.794703970028905,0.5876910365669515
['no_irradiat'],"['no-recurrence-events', 'no_node_caps']",54.51263537906137,70.23255813953489,34.64299747192071,0.5611760409194173
['no_irradiat'],"['0-2', 'no-recurrence-events']",53.06859205776173,68.37209302325581,31.9621970392544,0.5333450951731006
['no_node_caps'],"['no-recurrence-events', 'no_irradiat']",54.51263537906137,68.32579185520362,31.89730718229557,0.5387532981399922
"['0-2', 'no_node_caps']","['no-recurrence-events', 'no_irradiat']",52.34657039711191,72.5,27.6281640625,0.4666464295922256
['0-2'],"['no-recurrence-events', 'no_irradiat', 'no_node_caps']",52.34657039711191,69.377990430622,23.16791037726376,0.425000740033249
['no_irradiat'],"['0-2', 'no-recurrence-events', 'no_node_caps']",52.34657039711191,67.44186046511628,20.6879838867486,0.358160721039335
['no_node_caps'],"['0-2', 'no-recurrence-events', 'no_irradiat']",52.34657039711191,65.61085972850678,18.531173158503616,0.3491928547554762
