A,B,support,confidence,bayesian confidence,bayesian lift
['premeno'],['no-recurrence-events'],35.66433566433567,68.0,46.24000000000001,50.74626865671642
['no-recurrence-events'],['premeno'],35.66433566433567,50.74626865671642,25.751837825796393,68.0
['right'],['no-recurrence-events'],34.26573426573427,73.13432835820896,53.48629984406327,48.756218905472636
['premeno'],['right'],26.223776223776223,50.0,25.0,55.970149253731336
['right'],['premeno'],26.223776223776223,55.97014925373134,31.326576074849626,50.0
['0-2'],['no-recurrence-events'],58.39160839160839,78.40375586854461,61.47148934294342,83.08457711442786
['no-recurrence-events'],['0-2'],58.39160839160839,83.08457711442786,69.03046954283309,78.40375586854461
['0-2'],['premeno'],39.16083916083916,52.582159624413144,27.648835107672642,74.66666666666667
['premeno'],['0-2'],39.16083916083916,74.66666666666667,55.751111111111115,52.58215962441315
['0-2'],['no'],72.37762237762237,97.1830985915493,94.44554651854791,82.14285714285714
['no'],['0-2'],72.37762237762237,82.14285714285714,67.47448979591836,97.1830985915493
['0-2'],['left'],40.20979020979021,53.990610328638496,29.149860036588866,75.6578947368421
['left'],['0-2'],40.20979020979021,75.65789473684211,57.24117036011079,53.990610328638496
['left_low'],['0-2'],27.622377622377623,71.81818181818181,51.57851239669421,37.08920187793427
['40-49'],['0-2'],23.776223776223777,75.55555555555556,57.08641975308642,31.92488262910798
['2'],['0-2'],34.26573426573427,75.38461538461539,56.828402366863905,46.009389671361504
['right'],['0-2'],34.26573426573427,73.13432835820896,53.48629984406327,46.009389671361504
['ge40'],['0-2'],32.86713286713287,72.86821705426357,53.09777056667267,44.13145539906103
['left_up'],['0-2'],25.524475524475523,75.25773195876289,56.63726219577001,34.27230046948357
['50-59'],['0-2'],24.825174825174827,73.95833333333333,54.69835069444445,33.33333333333333
['1'],['0-2'],23.426573426573427,94.36619718309859,89.04979170799444,31.455399061032864
['no-recurrence-events'],['no'],64.33566433566433,91.54228855721394,83.79990594292221,73.01587301587301
['no'],['no-recurrence-events'],64.33566433566433,73.01587301587301,53.31317712270093,91.54228855721394
['premeno'],['no'],46.15384615384615,88.0,77.44,52.38095238095239
['no'],['premeno'],46.15384615384615,52.38095238095238,27.43764172335601,88.0
['right'],['no'],42.30769230769231,90.29850746268657,81.53820449988862,48.01587301587302
['yes'],['no'],21.678321678321677,64.58333333333333,41.71006944444445,24.6031746031746
['recurrence-events'],['no'],23.776223776223777,80.0,64.00000000000001,26.984126984126984
['3'],['no'],24.125874125874127,81.17647058823529,65.8961937716263,27.380952380952383
['left'],['no-recurrence-events'],36.01398601398601,67.76315789473684,45.91845567867037,51.243781094527364
['no-recurrence-events'],['left'],36.01398601398601,51.243781094527364,26.2592510086384,67.76315789473685
['premeno'],['left'],26.223776223776223,50.0,25.0,49.34210526315789
['left'],['no'],45.80419580419581,86.1842105263158,74.2771814404432,51.98412698412699
['no'],['left'],45.80419580419581,51.98412698412698,27.023494583018397,86.18421052631578
['left'],['left_low'],27.272727272727273,51.31578947368421,26.333102493074794,70.9090909090909
['left_low'],['left'],27.272727272727273,70.9090909090909,50.28099173553719,51.31578947368421
['left_low'],['no-recurrence-events'],26.223776223776223,68.18181818181819,46.48760330578512,37.3134328358209
['left_low'],['premeno'],20.27972027972028,52.72727272727273,27.80165289256198,38.666666666666664
['left_low'],['no'],33.91608391608391,88.18181818181819,77.76033057851241,38.492063492063494
['40-49'],['no-recurrence-events'],22.027972027972027,70.0,48.99999999999999,31.343283582089555
['premeno'],['40-49'],28.321678321678323,54.0,29.160000000000004,90.0
['40-49'],['premeno'],28.321678321678323,90.0,81.0,54.0
['40-49'],['no'],27.622377622377623,87.77777777777777,77.04938271604938,31.349206349206348
['no-recurrence-events'],['2'],35.66433566433567,50.74626865671642,25.751837825796393,78.46153846153847
['2'],['no-recurrence-events'],35.66433566433567,78.46153846153847,61.562130177514796,50.74626865671642
['premeno'],['2'],27.972027972027973,53.333333333333336,28.444444444444443,61.53846153846154
['2'],['premeno'],27.972027972027973,61.53846153846154,37.8698224852071,53.333333333333336
['2'],['no'],40.20979020979021,88.46153846153847,78.25443786982248,45.63492063492063
['2'],['left'],22.727272727272727,50.0,25.0,42.76315789473684
['2'],['right'],22.727272727272727,50.0,25.0,48.507462686567166
['ge40'],['no-recurrence-events'],32.86713286713287,72.86821705426357,53.09777056667267,46.766169154228855
['ge40'],['no'],39.51048951048951,87.59689922480621,76.73216753800854,44.84126984126984
['ge40'],['left'],25.174825174825173,55.81395348837209,31.151974040021635,47.368421052631575
['left_up'],['no-recurrence-events'],24.825174825174827,73.19587628865979,53.57636305664788,35.32338308457712
['left_up'],['no'],30.06993006993007,88.65979381443299,78.60559039217769,34.12698412698413
['left_up'],['right'],21.32867132867133,62.88659793814433,39.54724200233819,45.52238805970149
['50-59'],['no-recurrence-events'],24.825174825174827,73.95833333333333,54.69835069444445,35.32338308457712
['50-59'],['no'],29.72027972027972,88.54166666666667,78.3962673611111,33.730158730158735
['50-59'],['ge40'],20.62937062937063,61.458333333333336,37.771267361111114,45.73643410852713
['1'],['no-recurrence-events'],20.62937062937063,83.09859154929578,69.05375917476691,29.35323383084577
['1'],['no'],23.776223776223777,95.77464788732394,91.72783177940885,26.984126984126984
['premeno'],"['0-2', 'no-recurrence-events']",29.02097902097902,55.333333333333336,16.94183703703704,49.700598802395206
"['no-recurrence-events', 'premeno']",['0-2'],29.02097902097902,81.37254901960785,53.88076607036509,38.967136150234744
"['0-2', 'premeno']",['no-recurrence-events'],29.02097902097902,74.10714285714286,40.698669255648696,41.29353233830846
